race,discuss_politics,ideology,party,church_goer,age,gender,political_interest,patriotism,state,ground_truth
white,No,moderate,a strong democrat,attend church,67,man,not very,moderately good,Wisconsin,Clinton
white,Yes,slightly conservative,a weak Republican,attend church,19,woman,not very,extremely good,California,Clinton
white,Yes,,a strong democrat,do not attend church,74,woman,somewhat,extremely good,Nebraska,Clinton
white,Yes,conservative,an independent who leans Republican,attend church,64,man,somewhat,extremely good,Virginia,Trump
white,Yes,conservative,a strong Republican,attend church,55,man,not at all,extremely good,Alabama,Trump
asian,Yes,slightly liberal,a weak Democrat,do not attend church,,,very,neither good nor bad,Virginia,Clinton
white,No,,an independent,attend church,73,woman,not very,extremely good,Wisconsin,Clinton
white,,moderate,an independent,attend church,55,woman,,,Virginia,Non-voter
white,Yes,moderate,a weak Republican,attend church,41,woman,somewhat,moderately good,Virginia,Non-voter
white,Yes,slightly liberal,an independent who leans Democratic,attend church,74,man,somewhat,extremely good,Texas,Non-voter
white,Yes,moderate,an independent,do not attend church,33,woman,somewhat,extremely good,Michigan,Clinton
white,Yes,moderate,a weak Democrat,attend church,66,woman,somewhat,a little good,Michigan,Clinton
hispanic,,moderate,a weak Republican,do not attend church,25,woman,,,Nebraska,Non-voter
white,,slightly liberal,an independent who leans Democratic,attend church,65,man,,,Ohio,Non-voter
white,,slightly liberal,an independent,do not attend church,31,man,,,California,Non-voter
white,No,,an independent,attend church,53,man,not very,moderately good,New Jersey,Non-voter
white,No,,a weak Democrat,do not attend church,22,woman,somewhat,extremely good,Illinois,Non-voter
white,Yes,conservative,a strong Republican,attend church,34,woman,not very,extremely good,Idaho,Trump
hispanic,No,,an independent,do not attend church,38,woman,not very,neither good nor bad,Texas,Non-voter
white,No,,a weak Republican,attend church,46,man,somewhat,moderately good,Pennsylvania,Clinton
black,No,slightly conservative,a strong democrat,attend church,72,man,not very,moderately good,Indiana,Clinton
white,,moderate,an independent,do not attend church,37,man,,,Arkansas,Non-voter
white,,slightly liberal,a weak Democrat,do not attend church,49,woman,,,Missouri,Non-voter
hispanic,,,a strong democrat,attend church,41,man,,,California,Non-voter
hispanic,Yes,moderate,a weak Republican,attend church,64,woman,very,extremely good,Florida,Trump
hispanic,,moderate,a strong democrat,do not attend church,48,man,,,California,Non-voter
white,Yes,moderate,an independent who leans Democratic,attend church,21,man,very,extremely good,Illinois,Clinton
white,Yes,conservative,a strong Republican,attend church,72,woman,somewhat,extremely good,Nebraska,Trump
white,Yes,slightly conservative,a weak Republican,do not attend church,52,woman,very,extremely good,Oregon,Clinton
hispanic,Yes,moderate,an independent who leans Democratic,do not attend church,27,man,somewhat,a little good,New Jersey,Non-voter
white,Yes,conservative,an independent who leans Republican,attend church,68,man,somewhat,extremely good,Maine,Trump
white,,moderate,an independent who leans Democratic,attend church,84,woman,,,Florida,Non-voter
white,Yes,,an independent,do not attend church,32,man,not very,extremely good,Florida,Non-voter
white,Yes,liberal,an independent who leans Democratic,do not attend church,56,man,very,neither good nor bad,Michigan,Clinton
white,No,moderate,an independent who leans Republican,attend church,66,man,somewhat,moderately good,Wisconsin,Trump
white,Yes,liberal,a strong democrat,do not attend church,72,man,very,neither good nor bad,California,Clinton
white,Yes,,an independent who leans Democratic,attend church,24,man,very,moderately bad,Maine,Non-voter
asian,,conservative,a strong Republican,do not attend church,38,woman,,,New York,Non-voter
black,,,a strong democrat,do not attend church,22,man,,,Alabama,Non-voter
white,Yes,conservative,a weak Republican,attend church,27,man,somewhat,extremely good,Maryland,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,80,man,very,extremely good,South Carolina,Trump
white,Yes,conservative,a strong Republican,attend church,46,man,somewhat,neither good nor bad,Tennessee,Non-voter
white,Yes,conservative,a strong Republican,attend church,68,man,very,extremely good,Indiana,Trump
white,Yes,slightly conservative,a weak Republican,attend church,42,man,somewhat,moderately good,California,Non-voter
white,,,a weak Democrat,do not attend church,33,woman,,,Pennsylvania,Non-voter
white,Yes,extremely liberal,a weak Democrat,do not attend church,69,woman,very,moderately bad,Virginia,Clinton
white,,,,,67,man,,extremely good,Pennsylvania,Non-voter
white,,slightly conservative,a strong Republican,attend church,53,man,,,Texas,Non-voter
white,,slightly liberal,a weak Democrat,do not attend church,68,man,,,California,Non-voter
white,No,extremely liberal,an independent who leans Democratic,do not attend church,59,woman,not very,neither good nor bad,Wyoming,Clinton
white,Yes,,a strong Republican,attend church,31,woman,not very,extremely good,Tennessee,Trump
white,Yes,liberal,a strong democrat,do not attend church,33,man,somewhat,moderately good,Michigan,Clinton
black,Yes,extremely conservative,a strong Republican,attend church,59,woman,very,neither good nor bad,Maryland,Trump
white,Yes,moderate,an independent,attend church,66,woman,not very,moderately good,Kansas,Non-voter
white,Yes,extremely liberal,a weak Democrat,do not attend church,,woman,very,neither good nor bad,Rhode Island,Clinton
white,No,slightly conservative,a strong Republican,do not attend church,50,woman,not very,extremely good,Pennsylvania,Trump
white,Yes,moderate,an independent,do not attend church,19,man,not very,extremely good,Florida,Non-voter
white,Yes,conservative,a strong Republican,attend church,79,man,very,extremely good,Ohio,Trump
white,Yes,conservative,a strong Republican,attend church,65,man,very,extremely good,North Dakota,Trump
white,,moderate,an independent,attend church,39,man,,,Virginia,Non-voter
black,Yes,liberal,a strong democrat,do not attend church,39,woman,somewhat,neither good nor bad,Virginia,Clinton
white,Yes,conservative,a weak Republican,do not attend church,54,man,very,extremely good,Missouri,Trump
white,Yes,moderate,a strong Republican,attend church,60,man,somewhat,extremely good,Michigan,Trump
white,Yes,slightly conservative,a weak Republican,attend church,,man,somewhat,neither good nor bad,Minnesota,Clinton
white,Yes,liberal,a strong democrat,do not attend church,34,man,very,neither good nor bad,North Carolina,Clinton
black,No,moderate,a strong democrat,attend church,33,woman,somewhat,extremely good,Florida,Clinton
white,Yes,conservative,a strong Republican,attend church,60,woman,somewhat,extremely good,West Virginia,Trump
white,Yes,moderate,a weak Democrat,do not attend church,62,man,somewhat,extremely good,Connecticut,Clinton
white,Yes,conservative,a strong Republican,attend church,28,man,somewhat,extremely good,Colorado,Trump
,Yes,slightly conservative,an independent who leans Republican,attend church,52,man,somewhat,extremely good,Arkansas,Trump
white,Yes,extremely liberal,a strong democrat,do not attend church,73,man,very,neither good nor bad,New York,Clinton
white,No,moderate,a strong democrat,attend church,90,woman,not very,neither good nor bad,Nevada,Clinton
,No,,a strong democrat,attend church,59,woman,somewhat,moderately good,Rhode Island,Clinton
white,Yes,moderate,a weak Republican,attend church,68,man,somewhat,extremely good,Ohio,Trump
white,,,a strong democrat,attend church,82,man,,,Ohio,Non-voter
black,No,,a strong democrat,attend church,90,woman,not very,extremely good,Georgia,Clinton
black,Yes,,a strong democrat,attend church,30,man,somewhat,extremely good,North Carolina,Clinton
black,No,moderate,a strong democrat,attend church,49,man,somewhat,extremely good,Texas,Clinton
white,Yes,liberal,a strong democrat,do not attend church,75,man,very,extremely good,Maryland,Clinton
white,Yes,conservative,an independent,attend church,73,woman,somewhat,extremely good,Texas,Trump
white,,,an independent,,,woman,,,Delaware,Trump
white,Yes,moderate,an independent who leans Democratic,do not attend church,34,man,somewhat,neither good nor bad,California,Non-voter
black,Yes,extremely liberal,a weak Democrat,attend church,41,woman,somewhat,neither good nor bad,North Carolina,Clinton
hispanic,,moderate,a strong democrat,do not attend church,26,man,,,Michigan,Non-voter
white,No,moderate,a weak Democrat,do not attend church,36,man,somewhat,moderately good,Texas,Non-voter
white,,,a strong democrat,attend church,56,woman,,,Connecticut,Non-voter
white,No,,an independent who leans Republican,do not attend church,76,man,not very,extremely good,Texas,Non-voter
white,Yes,slightly conservative,a strong Republican,attend church,29,man,not very,extremely good,Ohio,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,20,man,not very,neither good nor bad,Ohio,Clinton
white,Yes,slightly liberal,a weak Democrat,attend church,,woman,not very,moderately bad,California,Clinton
white,,slightly conservative,an independent who leans Republican,attend church,54,man,,,New York,Non-voter
white,No,moderate,an independent who leans Democratic,do not attend church,71,woman,not at all,extremely good,Oregon,Non-voter
white,Yes,conservative,a strong Republican,attend church,49,man,somewhat,extremely good,Virginia,Trump
white,Yes,liberal,a strong democrat,do not attend church,35,woman,somewhat,a little good,Colorado,Clinton
hispanic,Yes,,an independent,attend church,74,woman,not very,extremely good,Texas,Non-voter
white,,,an independent who leans Democratic,do not attend church,66,man,,,Pennsylvania,Non-voter
white,Yes,liberal,an independent who leans Democratic,do not attend church,26,woman,somewhat,neither good nor bad,Rhode Island,Clinton
white,Yes,slightly conservative,a weak Republican,do not attend church,37,man,very,extremely good,Michigan,Trump
,Yes,moderate,an independent,attend church,57,man,somewhat,extremely good,Ohio,Clinton
white,Yes,,a strong Republican,attend church,41,woman,not very,extremely good,Oklahoma,Trump
white,Yes,slightly liberal,an independent who leans Republican,do not attend church,48,man,somewhat,moderately good,Utah,Non-voter
white,No,,an independent,do not attend church,67,man,somewhat,extremely good,Arkansas,Non-voter
white,Yes,slightly conservative,a weak Republican,do not attend church,63,man,somewhat,moderately good,Colorado,Trump
white,,,an independent,attend church,,woman,,,Alabama,Non-voter
white,Yes,liberal,a strong democrat,attend church,41,man,not very,moderately good,Iowa,Non-voter
white,No,moderate,an independent,do not attend church,31,man,not at all,a little good,Texas,Non-voter
white,,extremely conservative,a strong Republican,attend church,37,woman,,,Washington,Non-voter
,Yes,moderate,an independent,do not attend church,41,man,not at all,neither good nor bad,Colorado,Non-voter
hispanic,,slightly conservative,a weak Republican,attend church,64,woman,,,Florida,Non-voter
white,Yes,slightly liberal,a strong Republican,do not attend church,55,man,somewhat,extremely good,Texas,Trump
white,Yes,extremely liberal,a strong democrat,do not attend church,26,woman,not very,neither good nor bad,Colorado,Non-voter
white,,conservative,a strong Republican,attend church,68,man,,,California,Non-voter
black,No,,a weak Democrat,attend church,24,woman,not very,moderately good,North Carolina,Non-voter
,,liberal,an independent who leans Democratic,attend church,83,man,,,South Carolina,Clinton
native American,Yes,moderate,an independent,attend church,45,man,somewhat,extremely good,Kansas,Clinton
white,Yes,slightly conservative,an independent who leans Republican,attend church,69,man,somewhat,extremely good,Michigan,Trump
hispanic,,,an independent,attend church,25,woman,,,California,Non-voter
white,Yes,conservative,a weak Republican,attend church,60,woman,somewhat,extremely good,Texas,Trump
,Yes,,an independent,attend church,57,woman,not very,moderately good,Pennsylvania,Trump
white,Yes,slightly conservative,a weak Republican,do not attend church,29,man,not very,extremely good,Pennsylvania,Trump
white,No,moderate,an independent,attend church,28,woman,not at all,extremely good,Louisiana,Non-voter
white,,conservative,a strong Republican,attend church,46,woman,,,Florida,Non-voter
white,Yes,slightly liberal,a strong democrat,attend church,70,woman,somewhat,extremely good,New York,Clinton
white,No,moderate,a weak Democrat,do not attend church,81,man,not very,a little good,Pennsylvania,Clinton
white,Yes,slightly conservative,a strong democrat,attend church,60,man,very,extremely good,Georgia,Non-voter
white,,moderate,an independent,attend church,53,woman,,,Connecticut,Non-voter
hispanic,,,a weak Democrat,attend church,51,woman,,,Florida,Non-voter
white,Yes,conservative,a strong Republican,attend church,50,woman,very,extremely good,Indiana,Trump
hispanic,Yes,slightly liberal,a weak Democrat,attend church,41,man,very,moderately good,California,Clinton
white,Yes,slightly conservative,a weak Republican,attend church,22,woman,somewhat,extremely good,Michigan,Trump
black,Yes,extremely liberal,a strong democrat,attend church,32,woman,very,neither good nor bad,,Clinton
white,Yes,liberal,a weak Democrat,do not attend church,19,woman,somewhat,extremely good,Oregon,Clinton
black,Yes,moderate,a strong democrat,attend church,21,man,not very,moderately bad,Maryland,Clinton
black,No,extremely liberal,a strong democrat,attend church,24,woman,not very,neither good nor bad,Georgia,Clinton
white,,slightly conservative,a strong Republican,attend church,66,man,,,Minnesota,Non-voter
black,No,liberal,a strong democrat,do not attend church,60,woman,not very,neither good nor bad,Pennsylvania,Clinton
hispanic,Yes,moderate,a weak Democrat,attend church,41,woman,somewhat,moderately good,Florida,Clinton
asian,,slightly liberal,a weak Democrat,do not attend church,39,woman,,,New York,Non-voter
white,No,,a strong democrat,attend church,80,woman,somewhat,extremely good,Wisconsin,Clinton
white,,slightly conservative,an independent who leans Republican,attend church,61,woman,,,New Jersey,Non-voter
white,Yes,extremely conservative,an independent who leans Republican,attend church,60,woman,not very,extremely good,Florida,Non-voter
white,,moderate,a weak Republican,attend church,49,woman,,,Michigan,Non-voter
native American,Yes,liberal,an independent who leans Democratic,attend church,28,woman,not very,a little good,Wyoming,Non-voter
white,Yes,slightly conservative,a strong Republican,attend church,26,man,not at all,extremely good,Missouri,Trump
,No,,an independent,do not attend church,59,woman,not at all,neither good nor bad,Washington,Trump
white,,liberal,an independent who leans Democratic,attend church,79,man,,,Arkansas,Non-voter
white,No,,a strong democrat,attend church,30,man,not at all,moderately good,Massachusetts,Non-voter
white,,,a weak Democrat,do not attend church,52,woman,,,Pennsylvania,Non-voter
white,,moderate,an independent who leans Republican,do not attend church,62,,,,Virginia,Non-voter
white,Yes,liberal,a weak Democrat,attend church,38,woman,not very,moderately good,Georgia,Non-voter
white,,conservative,a strong Republican,attend church,74,woman,,,Iowa,Non-voter
white,,slightly conservative,a weak Republican,attend church,34,woman,,,Missouri,Non-voter
asian,Yes,slightly liberal,an independent,attend church,47,woman,not at all,a little good,Ohio,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,63,man,somewhat,extremely good,Missouri,Trump
hispanic,No,moderate,an independent,do not attend church,45,woman,not at all,neither good nor bad,Florida,Non-voter
white,Yes,moderate,a weak Republican,attend church,73,man,somewhat,extremely good,California,Trump
white,Yes,liberal,a strong democrat,do not attend church,32,man,somewhat,neither good nor bad,Pennsylvania,Clinton
white,Yes,,a weak Republican,do not attend church,37,woman,not very,extremely good,Illinois,Non-voter
white,No,slightly conservative,a weak Republican,attend church,26,man,not very,extremely good,New York,Non-voter
white,Yes,conservative,an independent who leans Republican,attend church,73,woman,somewhat,extremely good,New Jersey,Trump
black,Yes,,a weak Democrat,attend church,20,woman,very,moderately good,Texas,Clinton
white,Yes,,a strong Republican,do not attend church,57,woman,somewhat,extremely good,New Jersey,Non-voter
black,No,,an independent,attend church,22,woman,not at all,extremely bad,Texas,Non-voter
white,Yes,conservative,a strong Republican,attend church,27,man,somewhat,extremely good,Virginia,Trump
,No,slightly liberal,a weak Democrat,do not attend church,63,woman,somewhat,extremely good,South Dakota,Non-voter
white,No,slightly conservative,a weak Republican,attend church,50,woman,not very,moderately good,Washington,Trump
hispanic,Yes,moderate,a strong democrat,attend church,55,man,very,extremely good,Minnesota,Clinton
white,No,conservative,a weak Republican,attend church,86,woman,somewhat,moderately good,California,Trump
white,Yes,liberal,a strong democrat,do not attend church,60,woman,very,neither good nor bad,New Mexico,Clinton
black,Yes,slightly conservative,a strong democrat,attend church,35,woman,somewhat,moderately good,Louisiana,Non-voter
white,,conservative,an independent who leans Republican,attend church,62,man,,,California,Non-voter
white,Yes,moderate,a strong Republican,attend church,49,woman,somewhat,extremely good,Florida,Trump
white,Yes,conservative,a strong Republican,do not attend church,58,man,somewhat,extremely good,Florida,Trump
white,,,an independent,do not attend church,28,woman,,,Indiana,Non-voter
white,Yes,moderate,a strong Republican,attend church,62,woman,somewhat,extremely good,North Carolina,Trump
white,Yes,moderate,a weak Republican,attend church,54,man,very,neither good nor bad,Connecticut,Trump
white,,conservative,a strong Republican,do not attend church,61,man,,,New York,Non-voter
white,Yes,moderate,a strong Republican,attend church,28,man,very,extremely good,New York,Trump
white,Yes,slightly liberal,a weak Democrat,do not attend church,67,woman,somewhat,moderately good,Florida,Clinton
hispanic,,,a weak Republican,do not attend church,45,woman,,,Oregon,Non-voter
white,Yes,,an independent,attend church,31,woman,somewhat,extremely good,Kentucky,Trump
white,Yes,moderate,an independent,attend church,70,woman,somewhat,extremely good,Minnesota,Non-voter
white,Yes,conservative,a strong Republican,attend church,37,woman,somewhat,moderately good,Washington,Trump
,No,moderate,a strong democrat,attend church,58,woman,somewhat,neither good nor bad,Michigan,Clinton
white,Yes,slightly liberal,an independent,attend church,27,man,very,moderately good,Massachusetts,Non-voter
white,Yes,extremely liberal,a strong democrat,attend church,28,woman,very,moderately good,Georgia,Clinton
white,Yes,liberal,an independent who leans Democratic,do not attend church,23,woman,somewhat,neither good nor bad,California,Non-voter
white,Yes,extremely liberal,a strong democrat,do not attend church,37,woman,somewhat,neither good nor bad,Mississippi,Clinton
white,Yes,liberal,a strong democrat,attend church,64,woman,somewhat,extremely good,California,Clinton
hispanic,No,moderate,a strong Republican,do not attend church,77,woman,not at all,extremely good,Iowa,Clinton
white,Yes,,a strong Republican,attend church,67,man,somewhat,extremely good,Kansas,Trump
white,Yes,conservative,a strong Republican,attend church,74,woman,very,extremely good,Virginia,Trump
white,No,conservative,a strong Republican,attend church,33,man,not very,extremely good,Kentucky,Trump
white,No,conservative,a strong Republican,do not attend church,31,man,not very,extremely bad,California,Trump
white,,conservative,a weak Republican,attend church,36,woman,,,Iowa,Non-voter
white,No,,a weak Republican,attend church,49,man,not very,extremely good,Missouri,Trump
white,,,a weak Republican,attend church,19,man,,,Ohio,Non-voter
,Yes,slightly liberal,a weak Democrat,attend church,64,woman,not very,extremely good,Kentucky,Clinton
white,Yes,slightly conservative,a weak Republican,do not attend church,38,man,very,extremely good,New Jersey,Clinton
white,Yes,conservative,a strong Republican,attend church,53,woman,very,extremely good,South Dakota,Trump
white,,slightly liberal,an independent who leans Democratic,attend church,46,woman,,,Florida,Non-voter
hispanic,Yes,,a strong democrat,attend church,70,woman,somewhat,extremely good,Texas,Clinton
white,Yes,slightly liberal,a weak Republican,do not attend church,52,woman,very,neither good nor bad,Texas,Trump
black,Yes,,a strong democrat,attend church,38,woman,somewhat,neither good nor bad,Wisconsin,Non-voter
,Yes,,a weak Democrat,do not attend church,34,woman,not very,moderately good,California,Non-voter
white,Yes,extremely liberal,an independent who leans Democratic,do not attend church,42,woman,somewhat,neither good nor bad,California,Non-voter
white,Yes,conservative,a strong Republican,attend church,57,woman,somewhat,moderately good,New York,Trump
white,Yes,slightly liberal,an independent who leans Democratic,attend church,39,woman,somewhat,extremely good,Massachusetts,Trump
white,Yes,slightly conservative,a weak Republican,do not attend church,52,man,somewhat,extremely good,Arizona,Non-voter
white,Yes,moderate,an independent who leans Democratic,attend church,53,man,very,moderately good,Michigan,Clinton
white,Yes,liberal,a strong democrat,do not attend church,59,man,somewhat,extremely good,Massachusetts,Clinton
white,Yes,moderate,an independent who leans Republican,do not attend church,57,man,somewhat,moderately good,Missouri,Trump
black,No,conservative,a weak Democrat,do not attend church,27,woman,very,a little good,Missouri,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,,man,somewhat,neither good nor bad,New Hampshire,Clinton
hispanic,No,,a strong democrat,attend church,37,woman,somewhat,extremely good,Texas,Clinton
white,Yes,slightly liberal,a weak Democrat,do not attend church,41,man,somewhat,moderately good,Pennsylvania,Clinton
hispanic,No,conservative,an independent who leans Republican,attend church,22,man,somewhat,moderately good,Florida,Non-voter
white,,conservative,a strong Republican,attend church,63,man,,,Kentucky,Non-voter
white,No,slightly conservative,an independent,do not attend church,60,man,somewhat,extremely good,Tennessee,Trump
asian,Yes,liberal,a strong democrat,do not attend church,49,man,not very,moderately good,California,Clinton
white,,,a strong Republican,attend church,56,woman,,,North Carolina,Non-voter
white,,slightly conservative,an independent,,,woman,,,Washington,Non-voter
white,Yes,conservative,a strong Republican,do not attend church,31,woman,not very,moderately good,Georgia,Trump
black,Yes,slightly liberal,an independent who leans Democratic,do not attend church,31,man,very,neither good nor bad,New Jersey,Clinton
white,Yes,conservative,an independent who leans Republican,attend church,34,man,somewhat,extremely good,Utah,Trump
white,Yes,moderate,an independent who leans Republican,attend church,53,man,not very,extremely good,Ohio,Trump
white,Yes,moderate,an independent,do not attend church,46,woman,somewhat,a little good,Alabama,Non-voter
white,Yes,extremely liberal,an independent who leans Democratic,do not attend church,32,,very,neither good nor bad,New York,Clinton
white,Yes,slightly liberal,an independent who leans Democratic,attend church,36,woman,somewhat,neither good nor bad,Florida,Clinton
white,Yes,moderate,a strong Republican,attend church,57,man,somewhat,extremely good,Colorado,Trump
white,No,moderate,an independent,attend church,34,man,somewhat,extremely good,New York,Non-voter
black,,slightly liberal,a strong democrat,attend church,34,woman,,,Texas,Non-voter
white,Yes,conservative,an independent who leans Republican,attend church,59,woman,somewhat,moderately good,New York,Non-voter
white,No,slightly liberal,an independent who leans Republican,do not attend church,34,woman,not very,moderately good,Michigan,Trump
white,Yes,conservative,a strong Republican,attend church,45,man,very,extremely good,Georgia,Trump
white,Yes,liberal,an independent who leans Democratic,do not attend church,30,woman,somewhat,neither good nor bad,Florida,Clinton
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,67,man,somewhat,moderately good,North Dakota,Clinton
,No,,a strong Republican,,,,somewhat,extremely good,California,Trump
white,Yes,,a strong democrat,do not attend church,58,man,very,neither good nor bad,New York,Clinton
white,Yes,extremely conservative,a strong Republican,attend church,54,man,very,extremely good,Louisiana,Trump
black,,,a weak Democrat,attend church,71,man,,,New York,Non-voter
white,Yes,moderate,a strong democrat,attend church,57,woman,somewhat,neither good nor bad,Michigan,Clinton
white,Yes,extremely conservative,a strong Republican,attend church,41,woman,somewhat,extremely good,Texas,Trump
white,No,slightly conservative,an independent who leans Republican,attend church,32,man,somewhat,extremely good,North Carolina,Non-voter
black,Yes,slightly liberal,a strong democrat,attend church,38,woman,not very,neither good nor bad,Virginia,Clinton
white,No,slightly conservative,an independent who leans Republican,do not attend church,24,man,somewhat,a little good,North Carolina,Non-voter
,Yes,moderate,a strong Republican,attend church,64,woman,somewhat,extremely good,California,Trump
white,,liberal,a strong democrat,do not attend church,61,woman,,,New York,Non-voter
asian,Yes,conservative,a strong Republican,attend church,47,woman,somewhat,extremely good,Texas,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,36,man,somewhat,extremely good,Michigan,Trump
white,,conservative,a strong Republican,attend church,45,man,,,California,Non-voter
white,Yes,conservative,a strong Republican,attend church,60,man,somewhat,extremely good,Iowa,Trump
white,Yes,moderate,a weak Democrat,attend church,63,man,somewhat,extremely good,Pennsylvania,Trump
white,Yes,,a weak Democrat,do not attend church,60,man,somewhat,neither good nor bad,Washington,Clinton
white,Yes,conservative,an independent who leans Republican,attend church,63,man,very,extremely good,South Carolina,Trump
,Yes,moderate,an independent,do not attend church,86,man,somewhat,neither good nor bad,Indiana,Clinton
white,Yes,liberal,a strong democrat,do not attend church,59,woman,somewhat,a little good,Oregon,Clinton
white,Yes,moderate,an independent who leans Democratic,attend church,40,woman,somewhat,a little good,New York,Non-voter
hispanic,Yes,,a strong democrat,do not attend church,40,woman,not at all,moderately good,Michigan,Clinton
,No,,,attend church,,woman,not at all,neither good nor bad,South Carolina,Non-voter
white,Yes,,an independent who leans Democratic,do not attend church,42,woman,not at all,extremely good,California,Clinton
white,Yes,conservative,a strong Republican,attend church,30,woman,not very,extremely good,Florida,Trump
white,Yes,slightly liberal,an independent who leans Democratic,attend church,63,woman,somewhat,moderately good,California,Clinton
native American,No,,an independent,attend church,51,man,not at all,neither good nor bad,Texas,Non-voter
hispanic,,conservative,a strong Republican,attend church,69,man,,,New Mexico,Non-voter
black,Yes,,a strong democrat,do not attend church,26,man,somewhat,neither good nor bad,Pennsylvania,Clinton
white,Yes,conservative,a strong Republican,attend church,39,woman,somewhat,extremely good,California,Trump
white,No,moderate,an independent,do not attend church,31,woman,somewhat,moderately bad,Oklahoma,Non-voter
white,,slightly liberal,an independent who leans Democratic,do not attend church,27,woman,,,Pennsylvania,Non-voter
white,Yes,moderate,an independent,do not attend church,33,woman,somewhat,neither good nor bad,Arkansas,Non-voter
white,Yes,conservative,a strong Republican,attend church,28,man,very,extremely good,Kentucky,Trump
white,Yes,conservative,a strong Republican,attend church,76,woman,very,extremely good,Alabama,Trump
white,No,,an independent,attend church,42,man,not very,extremely good,Missouri,Trump
white,Yes,moderate,an independent,attend church,32,man,not very,moderately good,Illinois,Trump
white,No,moderate,a weak Republican,attend church,43,woman,somewhat,extremely good,Tennessee,Trump
white,No,,a weak Democrat,do not attend church,32,man,somewhat,moderately good,Iowa,Clinton
white,Yes,extremely conservative,a strong Republican,attend church,58,man,somewhat,moderately good,Florida,Trump
black,,,a strong democrat,do not attend church,39,woman,,,Texas,Non-voter
asian,Yes,conservative,a strong Republican,do not attend church,63,woman,somewhat,extremely good,Texas,Trump
hispanic,Yes,liberal,a strong democrat,attend church,32,woman,not very,extremely good,Massachusetts,Non-voter
hispanic,No,moderate,an independent,attend church,55,woman,somewhat,neither good nor bad,California,Non-voter
white,Yes,conservative,a strong Republican,attend church,46,man,very,extremely good,Nevada,Trump
white,Yes,conservative,a strong Republican,attend church,51,man,somewhat,extremely good,Tennessee,Trump
,,moderate,an independent,attend church,40,woman,,,Illinois,Non-voter
white,Yes,conservative,a strong Republican,attend church,85,woman,very,moderately good,Florida,Trump
white,Yes,,a weak Republican,do not attend church,50,woman,not very,moderately good,North Carolina,Non-voter
white,Yes,moderate,a weak Republican,attend church,49,man,somewhat,extremely good,Pennsylvania,Non-voter
white,,moderate,an independent,attend church,55,woman,,,Texas,Non-voter
white,Yes,liberal,a strong democrat,attend church,68,woman,very,neither good nor bad,New York,Clinton
hispanic,Yes,liberal,an independent who leans Democratic,attend church,30,man,somewhat,moderately good,Texas,Clinton
hispanic,Yes,,a strong democrat,attend church,46,woman,somewhat,extremely good,Nevada,Clinton
white,,,a strong Republican,attend church,65,man,,,Texas,Non-voter
white,Yes,extremely conservative,a strong Republican,do not attend church,27,man,very,extremely good,Pennsylvania,Trump
white,Yes,liberal,a weak Democrat,do not attend church,60,woman,somewhat,neither good nor bad,Vermont,Clinton
white,Yes,conservative,a strong Republican,attend church,31,woman,very,extremely good,Wisconsin,Trump
hispanic,Yes,liberal,a strong democrat,do not attend church,46,woman,very,neither good nor bad,California,Non-voter
white,Yes,slightly conservative,a weak Republican,attend church,53,man,somewhat,extremely good,Texas,Trump
black,No,,a strong democrat,attend church,37,woman,not very,moderately good,North Carolina,Non-voter
white,Yes,liberal,a weak Democrat,do not attend church,63,woman,not very,a little good,North Carolina,Clinton
white,,slightly liberal,a weak Democrat,do not attend church,39,man,,,Connecticut,Non-voter
white,Yes,conservative,an independent who leans Republican,do not attend church,58,man,somewhat,extremely good,Arizona,Trump
hispanic,Yes,conservative,a weak Republican,attend church,32,woman,somewhat,extremely good,Utah,Trump
black,No,,a strong democrat,do not attend church,54,man,somewhat,neither good nor bad,Michigan,Clinton
white,Yes,,an independent who leans Democratic,do not attend church,18,man,somewhat,neither good nor bad,California,Clinton
white,Yes,conservative,a strong Republican,attend church,48,woman,very,extremely good,California,Trump
black,,,a weak Democrat,attend church,26,man,,,Mississippi,Non-voter
white,No,conservative,a strong Republican,do not attend church,55,man,not at all,moderately good,Pennsylvania,Trump
hispanic,Yes,liberal,an independent who leans Democratic,do not attend church,50,woman,very,neither good nor bad,Texas,Clinton
white,Yes,slightly liberal,a strong Republican,attend church,66,woman,somewhat,extremely good,Texas,Non-voter
white,Yes,extremely liberal,a weak Democrat,do not attend church,46,woman,somewhat,neither good nor bad,New Hampshire,Clinton
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,35,man,somewhat,extremely good,Missouri,Non-voter
white,Yes,,,,,woman,,neither good nor bad,New York,Trump
white,Yes,moderate,an independent,do not attend church,52,man,somewhat,extremely good,Maryland,Clinton
white,,,a weak Republican,do not attend church,70,woman,,,Vermont,Non-voter
white,Yes,liberal,a strong democrat,attend church,33,woman,very,neither good nor bad,Louisiana,Clinton
black,Yes,slightly liberal,a strong democrat,attend church,78,woman,not very,extremely good,Michigan,Clinton
white,No,moderate,a weak Republican,attend church,42,woman,not very,extremely good,Texas,Non-voter
